HoodID,neighbourhood,  In the labour force,    Employed,    Unemployed,Participation rate,Employment rate,Unemployment rate,Pop_2016
,City of Toronto,"1,483,675","1,361,375","122,305",64.7,59.3,8.2,"2,731,571"
129,Agincourt North,"13,865","12,510","1,360",55.4,50,9.8,"29,113"
128,Agincourt South-Malvern West,"12,045","10,855","1,185",59,53.2,9.8,"23,757"
20,Alderwood,"6,825","6,405",415,66.5,62.4,6.1,"12,054"
95,Annex,"18,560","17,305","1,250",70.6,65.8,6.7,"30,526"
42,Banbury-Don Mills,"14,015","13,010","1,010",59.9,55.6,7.2,"27,695"
34,Bathurst Manor,"8,620","8,000",620,65,60.3,7.2,"15,873"
76,Bay Street Corridor,"15,000","13,455","1,535",62.7,56.2,10.2,"25,797"
52,Bayview Village,"11,885","10,965",910,63.4,58.5,7.7,"21,396"
49,Bayview Woods-Steeles,"6,205","5,720",495,55.7,51.3,8,"13,154"
39,Bedford Park-Nortown,"11,835","11,185",650,63.8,60.3,5.5,"23,236"
112,Beechborough-Greenbrook,"3,125","2,765",355,59.5,52.7,11.4,"6,577"
127,Bendale,"14,270","13,020","1,255",58,52.9,8.8,"29,960"
122,Birchcliffe-Cliffside,"12,000","10,945","1,055",65.4,59.6,8.8,"22,291"
24,Black Creek,"9,300","8,115","1,180",54.8,47.8,12.7,"21,737"
69,Blake-Jones,"4,080","3,740",345,65,59.6,8.5,"7,727"
108,Briar Hill-Belgravia,"8,350","7,635",725,67.6,61.8,8.7,"14,257"
41,Bridle Path-Sunnybrook-York Mills,"4,515","4,155",360,58.3,53.6,8,"9,266"
57,Broadview North,"6,575","6,035",540,66.5,61.1,8.2,"11,499"
30,Brookhaven-Amesbury,"9,105","8,195",915,63.5,57.1,10,"17,757"
71,Cabbagetown-South St. James Town,"7,275","6,695",585,71.3,65.6,8,"11,669"
109,Caledonia-Fairbank,"5,550","5,145",400,65.9,61.1,7.2,"9,955"
96,Casa Loma,"6,475","6,055",425,67.2,62.8,6.6,"10,968"
133,Centennial Scarborough,"7,185","6,635",545,64.2,59.3,7.6,"13,362"
75,Church-Yonge Corridor,"21,855","19,990","1,865",75.1,68.7,8.5,"31,340"
120,Clairlea-Birchmount,"14,195","12,960","1,240",65.3,59.6,8.7,"26,984"
33,Clanton Park,"9,275","8,710",565,67.9,63.8,6.1,"16,472"
123,Cliffcrest,"8,200","7,410",795,61.9,55.9,9.7,"15,935"
92,Corso Italia-Davenport,"8,310","7,710",600,68.1,63.2,7.2,"14,133"
66,Danforth,"5,445","5,105",340,68.5,64.3,6.2,"9,666"
59,Danforth East York,"9,420","8,770",650,67,62.4,6.9,"17,180"
47,Don Valley Village,"13,880","12,540","1,330",61,55.1,9.6,"27,051"
126,Dorset Park,"12,735","11,495","1,230",63.3,57.1,9.7,"25,003"
93,Dovercourt-Wallace Emerson-Junction,"22,330","20,710","1,610",70.3,65.2,7.2,"36,625"
26,Downsview-Roding-CFB,"18,045","16,630","1,420",61.7,56.8,7.9,"35,052"
83,Dufferin Grove,"7,555","6,995",565,72.4,67.1,7.5,"11,785"
62,East End-Danforth,"12,120","11,125",990,70.1,64.3,8.2,"21,381"
9,Edenbridge-Humber Valley,"8,420","7,915",510,64.4,60.5,6.1,"15,535"
138,Eglinton East,"10,690","9,540","1,155",59.2,52.8,10.8,"22,776"
5,Elms-Old Rexdale,"4,635","4,175",465,60.7,54.6,10,"9,456"
32,Englemount-Lawrence,"10,760","9,805",955,63,57.4,8.9,"22,372"
11,Eringate-Centennial-West Deane,"10,105","9,355",750,63.6,58.9,7.4,"18,588"
13,Etobicoke West Mall,"6,420","5,915",505,65.7,60.5,7.9,"11,848"
