Hood_ID,Neighborhood,Total income: Average amount ($),Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,  With employment income,  Percentage with employment income,  Without employment income,"    Under $5,000 (including loss)","    $5,000 to $9,999","    $10,000 to $19,999","    $20,000 to $29,999","    $30,000 to $39,999","    $40,000 to $49,999","    $50,000 to $59,999","    $60,000 to $69,999","    $70,000 to $79,999","      $80,000 to $89,999","      $90,000 to $99,999","      $100,000 and over"
,City of Toronto,"52,268","2,294,785","1,578,750",68.8,"716,035","201,235","132,320","219,865","176,835","157,115","141,850","113,280","90,310","72,190","57,585","50,845","165,330"
129,Agincourt North,"30,414","24,995","15,345",61.4,"9,670","2,245","1,685","2,915","2,120","1,720","1,360",985,670,460,365,295,505
128,Agincourt South-Malvern West,"31,825","20,400","13,045",63.9,"7,355","1,920","1,420","2,310","1,730","1,365","1,160",860,660,460,355,275,515
20,Alderwood,"47,709","10,265","7,425",72.3,"2,840",825,525,840,735,715,695,660,555,455,360,330,730
95,Annex,"112,766","26,290","19,670",74.8,"6,625","2,535","1,545","2,380","1,800","1,580","1,425","1,225","1,155",915,770,630,"3,715"
42,Banbury-Don Mills,"67,757","23,395","15,545",66.4,"7,840","2,250","1,050","1,755","1,395","1,180","1,245","1,055",910,795,690,640,"2,570"
34,Bathurst Manor,"45,936","13,265","9,250",69.7,"4,010","1,120",780,"1,435","1,090",910,860,610,535,430,320,340,815
76,Bay Street Corridor,"56,526","23,945","15,185",63.4,"8,755","2,215","1,370","1,765","1,335","1,165","1,005",935,"1,075",905,735,595,"2,090"
52,Bayview Village,"52,035","18,720","12,520",66.9,"6,215","1,635",985,"1,640","1,275","1,125","1,035",885,825,660,560,465,"1,405"
49,Bayview Woods-Steeles,"47,246","11,150","6,775",60.8,"4,375","1,165",630,960,685,590,475,390,335,300,230,230,770
39,Bedford Park-Nortown,"123,077","18,560","13,205",71.1,"5,350","1,850",845,"1,430","1,300",970,795,645,565,460,390,370,"3,605"
112,Beechborough-Greenbrook,"33,829","5,255","3,370",64.1,"1,885",440,315,535,485,435,375,255,165,120,80,55,100
127,Bendale,"33,256","24,615","15,670",63.7,"8,950","2,220","1,520","2,300","1,950","1,815","1,575","1,255",910,650,465,410,595
122,Birchcliffe-Cliffside,"54,360","18,345","12,915",70.4,"5,430","1,765",940,"1,555","1,195","1,120","1,050",915,860,655,540,595,"1,730"
24,Black Creek,"25,989","16,960","9,995",58.9,"6,975","1,520","1,125","1,835","1,530","1,515","1,070",590,330,195,120,70,85
69,Blake-Jones,"48,511","6,280","4,305",68.6,"1,975",570,345,555,400,320,325,270,265,215,200,180,660
108,Briar Hill-Belgravia,"34,768","12,355","8,780",71.1,"3,570",875,800,"1,380","1,255","1,195",975,670,440,365,240,205,375
41,Bridle Path-Sunnybrook-York Mills,"308,010","7,750","5,135",66.3,"2,605",765,360,485,375,280,220,210,195,160,140,145,"1,770"
57,Broadview North,"44,557","9,880","6,970",70.5,"2,905",770,515,"1,025",820,755,700,530,415,340,255,220,630
30,Brookhaven-Amesbury,"32,483","14,345","9,575",66.7,"4,775","1,265",955,"1,615","1,425","1,230",990,680,460,315,245,140,255
71,Cabbagetown-South St. James Town,"63,012","10,200","7,660",75.1,"2,545",880,565,955,680,660,630,530,510,400,330,295,"1,240"
109,Caledonia-Fairbank,"35,112","8,415","5,915",70.3,"2,500",610,460,860,805,790,690,515,390,285,180,130,200
96,Casa Loma,"165,047","9,590","6,940",72.4,"2,655",930,495,675,580,520,495,410,385,295,255,225,"1,660"
133,Centennial Scarborough,"54,045","11,195","7,985",71.3,"3,210","1,140",590,885,620,585,655,610,495,460,405,415,"1,110"
75,Church-Yonge Corridor,"53,583","29,100","22,440",77.1,"6,645","2,375","1,680","2,615","2,090","1,980","1,990","1,795","1,640","1,410","1,115",925,"2,840"
120,Clairlea-Birchmount,"36,232","21,745","14,920",68.6,"6,805","1,910","1,320","2,145","1,805","1,565","1,540","1,235",960,745,535,450,720
33,Clanton Park,"51,181","13,655","9,980",73.1,"3,675","1,080",730,"1,440","1,285","1,130",915,660,580,395,350,330,"1,080"
123,Cliffcrest,"44,718","13,255","8,820",66.5,"4,425","1,290",755,"1,210",885,795,780,620,500,425,350,330,905
92,Corso Italia-Davenport,"41,717","12,170","8,690",71.4,"3,480",915,650,"1,320","1,060",935,875,660,575,480,355,270,620
66,Danforth,"55,225","7,950","5,680",71.4,"2,275",630,445,695,475,455,465,335,315,330,275,310,955
59,Danforth East York,"51,846","14,055","10,110",71.9,"3,940","1,075",665,"1,125",900,790,860,805,655,615,585,560,"1,485"
47,Don Valley Village,"37,379","22,765","14,745",64.8,"8,020","2,295","1,435","2,250","1,765","1,535","1,305",950,735,610,480,450,940
126,Dorset Park,"31,692","20,130","13,335",66.2,"6,785","1,645","1,225","2,180","1,870","1,770","1,535",995,685,470,320,255,370
93,Dovercourt-Wallace Emerson-Junction,"39,740","31,825","23,315",73.3,"8,515","2,295","1,900","3,685","2,920","2,570","2,210","1,810","1,440","1,200",885,760,"1,605"
26,Downsview-Roding-CFB,"34,168","29,215","19,375",66.3,"9,835","2,260","1,735","3,075","2,775","2,590","2,180","1,535","1,005",750,495,415,605
83,Dufferin Grove,"40,588","10,430","7,860",75.4,"2,570",755,670,"1,235",980,910,740,610,495,440,275,205,545
62,East End-Danforth,"54,324","17,295","12,575",72.7,"4,725","1,470",950,"1,500","1,160",985,975,865,805,650,625,655,"1,945"
9,Edenbridge-Humber Valley,"101,551","13,080","9,225",70.5,"3,855","1,170",710,"1,150",880,815,805,635,490,340,305,310,"1,585"
138,Eglinton East,"30,033","18,070","11,560",64,"6,510","1,675","1,135","1,880","1,730","1,575","1,240",835,545,320,225,165,245
5,Elms-Old Rexdale,"32,012","7,640","4,935",64.6,"2,710",730,545,750,625,600,520,365,255,175,125,100,140
32,Englemount-Lawrence,"48,134","17,085","11,475",67.2,"5,600","1,625","1,030","1,755","1,660","1,280",980,700,520,380,275,245,"1,020"
11,Eringate-Centennial-West Deane,"47,002","15,900","11,055",69.5,"4,845","1,570",890,"1,325","1,020",930,985,865,780,630,505,470,"1,080"
13,Etobicoke West Mall,"38,255","9,770","6,855",70.2,"2,915",900,620,970,760,760,710,595,445,335,235,190,325
44,Flemingdon Park,"28,654","17,540","10,550",60.1,"6,985","1,590","1,135","1,955","1,530","1,275",965,665,460,295,205,165,305
102,Forest Hill North,"85,099","10,610","7,955",75,"2,655",995,585,"1,090",940,735,610,510,395,310,235,225,"1,330"
101,Forest Hill South,"204,521","9,260","6,795",73.4,"2,470",910,430,725,635,520,495,405,345,285,230,170,"1,640"
25,Glenfield-Jane Heights,"27,984","24,435","14,620",59.8,"9,800","2,020","1,610","2,630","2,210","2,065","1,595",965,620,370,245,150,160
